Словоформа,Частота_ipm,Капитализация
средствах,10.4,lower
средство,26.0,lower
средством,12.2,lower
среду,30.0,lower
среды,50.2,lower
сродни,6.5,lower
срок,105.9,lower
Срок,8.2,upper
срока,33.8,lower
сроки,35.0,lower
сроков,11.2,lower
сроком,9.1,lower
срочно,31.9,lower
СС,7.5,upper
ссоры,5.6,lower
ССР,5.0,upper
СССР,148.6,upper
ссылаясь,6.2,lower
ссылка,5.0,lower
ссылки,9.7,lower
ссылку,5.3,lower
ст,86.6,lower
Ст,5.0,upper
ста,25.9,lower
стабилизации,6.1,lower
стабильности,14.1,lower
стабильность,9.2,lower
став,10.9,lower
ставил,17.4,lower
ставила,5.5,lower
ставили,14.2,lower
ставит,25.6,lower
ставится,6.6,lower
ставить,33.2,lower
ставка,8.9,lower
ставки,17.0,lower
ставку,11.4,lower
ставлю,5.2,lower
ставок,6.6,lower
ставшие,5.0,lower
ставший,8.8,lower
ставят,14.2,lower
стада,5.5,lower
стадии,28.6,lower
стадион,5.1,lower
стадо,8.3,lower
стаж,5.1,lower
стакан,35.6,lower
стакана,12.4,lower
стаканы,6.0,lower
стал,450.1,lower
Стал,8.9,upper
стала,215.7,lower
стали,270.3,lower
Стали,8.5,upper
Сталин,73.7,upper
Сталина,60.4,upper
Сталине,5.7,upper
Сталину,16.6,upper
Сталиным,10.0,upper
стало,280.9,lower
Стало,19.7,upper
сталь,6.0,lower
стальной,6.2,lower
стандарт,5.9,lower
стандартам,8.8,lower
стандартных,5.2,lower
стандартов,10.6,lower
стандарты,7.5,lower
станем,7.9,lower
станет,106.3,lower
станешь,7.6,lower
Станислав,8.0,upper
Станиславский,5.3,upper
Станиславского,8.8,upper
становилась,12.7,lower
становились,17.3,lower
становилось,27.2,lower
становился,17.9,lower
становится,119.2,lower
становиться,7.3,lower
становления,8.5,lower
становятся,37.8,lower
стану,18.8,lower
станут,32.0,lower
станции,57.3,lower
станций,10.1,lower
станцию,13.3,lower
станция,9.8,lower
стараемся,5.9,lower
старается,14.1,lower
старалась,13.8,lower
старались,17.6,lower
старался,36.0,lower
старательно,19.0,lower
стараться,7.9,lower
стараюсь,11.7,lower
стараются,12.4,lower
старая,27.3,lower
Старая,6.8,upper
стараясь,34.8,lower
старик,57.1,lower
Старик,22.7,upper
старика,23.9,lower
старики,12.4,lower
стариков,11.8,lower
стариком,5.0,lower
старику,6.1,lower
старинной,5.8,lower
старинные,6.9,lower
старинный,6.8,lower
старинных,6.6,lower
старичок,8.3,lower
старого,36.8,lower
старое,13.8,lower
старой,39.8,lower
старом,12.5,lower
старому,9.4,lower
старости,19.2,lower
старость,8.1,lower
старт,6.8,lower
старта,5.3,lower
старуха,24.7,lower
Старуха,8.6,upper
старухи,10.4,lower
старуху,5.9,lower
старушка,12.4,lower
старушки,5.9,lower
старую,16.0,lower
старшая,6.5,lower
старше,29.0,lower
старшего,22.2,lower
старшей,6.5,lower
старшему,5.5,lower
старшие,6.3,lower
старший,34.3,lower
Старший,8.5,upper
старшим,10.7,lower
старшина,12.3,lower
старших,13.3,lower
старые,43.4,lower
Старые,5.9,upper
старый,60.5,lower
Старый,14.6,upper
старым,16.4,lower
старыми,8.3,lower
старых,38.4,lower
Стас,13.5,upper
статей,22.5,lower
стати,5.5,lower
статистика,7.9,lower
статистике,7.4,lower
статистики,20.4,lower
статистических,10.4,lower
статистического,7.9,lower
статистической,7.1,lower
статус,27.2,lower
статуса,14.8,lower
статусе,5.1,lower
стать,140.7,lower
статье,41.2,lower
статьей,18.5,lower
статьи,91.1,lower
статью,32.1,lower
Статья,74.4,upper
статья,35.9,lower
статьями,8.9,lower
статьях,6.1,lower
ствол,13.3,lower
ствола,9.8,lower
стволов,5.6,lower
стволы,6.2,lower
стекла,31.5,lower
стеклами,6.2,lower
стекле,5.5,lower
стекло,29.2,lower
стеклом,11.2,lower
стеклу,6.7,lower
стеклянной,6.1,lower
стен,25.2,lower
стена,13.5,lower
стенам,7.7,lower
стенами,10.3,lower
стенах,22.5,lower
стене,52.9,lower
стенке,11.6,lower
стенки,13.0,lower
стенку,10.4,lower
стеной,17.1,lower
стену,28.6,lower
стены,74.0,lower
Стены,5.3,upper
Степан,17.2,upper
Степана,5.9,upper
Степанида,6.6,upper
Степанович,16.2,upper
Степановна,8.2,upper
степени,110.2,lower
степень,29.2,lower
степенью,8.3,lower
степи,13.0,lower
степь,8.9,lower
стеснялся,5.1,lower
стесняясь,5.7,lower
стиле,23.4,lower
стиль,30.0,lower
стилю,6.3,lower
стиля,16.6,lower
стих,7.0,lower
стихами,9.9,lower
стихах,14.5,lower
стихи,92.3,lower
Стихи,8.7,upper
стихии,5.9,lower
стихов,27.3,lower
стихотворение,19.8,lower
стихотворении,5.8,lower
стихотворений,6.1,lower
стихотворения,11.7,lower
сто,82.6,lower
Сто,10.2,upper
стоил,6.0,lower
стоила,5.7,lower
стоило,33.0,lower
Стоило,7.2,upper
стоим,8.3,lower
стоимости,35.5,lower
стоимость,44.0,lower
Стоимость,8.9,upper
стоимостью,9.2,lower
стоит,251.4,lower
Стоит,22.1,upper
стоить,9.0,lower
стоишь,6.4,lower
Стой,9.1,upper
стойке,6.1,lower
стойки,8.3,lower
стойку,5.6,lower
стол,126.0,lower
стола,77.4,lower
столб,8.3,lower
столбы,5.1,lower
столе,54.7,lower
столетие,5.6,lower
столетий,6.1,lower
столетия,19.3,lower
столик,19.2,lower
столика,6.5,lower
столике,6.3,lower
столиком,11.2,lower
столику,5.4,lower
столица,7.6,lower
Столица,5.4,upper
столице,25.8,lower
столицу,13.9,lower
столицы,32.4,lower
столичного,6.1,lower
столичных,7.6,lower
столкновение,5.3,lower
столкновения,8.2,lower
столкнулись,7.7,lower
столкнулся,7.8,lower
столов,5.4,lower
столовой,21.0,lower
столовую,10.6,lower
столом,75.6,lower
столу,39.2,lower
столы,9.6,lower
столь,137.9,lower
Столь,6.2,upper
столько,142.8,lower
Столько,7.8,upper
стон,5.1,lower
Стоп,6.9,upper
стопку,5.0,lower
сторож,5.1,lower
сторон,69.2,lower
сторона,29.2,lower
сторонам,30.7,lower
сторонами,9.2,lower
стороне,64.3,lower
сторонники,6.6,lower
сторонников,11.8,lower
стороной,19.8,lower
сторону,205.0,lower
стороны,328.3,lower
Стороны,6.5,upper
стою,12.1,lower
стоя,23.5,lower
стоявший,5.7,lower
стоял,144.5,lower
стояла,80.8,lower
стояли,83.9,lower
стояло,16.7,lower
стоянки,5.6,lower
стоят,54.9,lower
стоять,38.4,lower
стоящего,6.0,lower
стоящие,5.8,lower
стоящий,6.2,lower
стоящих,8.8,lower
стр,13.7,lower
страдает,10.2,lower
страдал,9.8,lower
страдание,6.4,lower
страданий,7.7,lower
страдания,16.2,lower
страдать,6.4,lower
страдают,7.1,lower
стражей,5.2,lower
стран,106.6,lower
страна,54.1,lower
Страна,8.6,upper
странам,8.1,lower
странами,17.2,lower
странах,60.3,lower
стране,167.5,lower
страниц,20.4,lower
страницах,17.1,lower
странице,9.8,lower
страницу,9.4,lower
страницы,21.3,lower
странная,13.7,lower
странно,70.3,lower
Странно,20.4,upper
странного,8.5,lower
странное,21.8,lower
Странное,5.2,upper
странной,11.6,lower
странную,6.3,lower
странные,13.6,lower
странный,17.8,lower
странным,19.9,lower
странных,5.7,lower
страной,18.2,lower
страну,45.8,lower
страны,232.3,lower
страстей,8.5,lower
страсти,23.8,lower
страстно,11.1,lower
страсть,18.6,lower
страстью,7.4,lower
стратегии,18.6,lower
стратегических,10.5,lower
стратегического,7.6,lower
стратегию,7.1,lower
стратегия,8.3,lower
страх,48.6,lower
Страх,6.9,upper
страха,43.8,lower
страхе,7.1,lower
страхи,6.2,lower
Страхов,8.2,upper
страхование,7.7,lower
страхования,21.4,lower
страхового,5.2,lower
страховой,10.0,lower
страховые,5.0,lower
страховых,9.2,lower
страхом,15.4,lower
страшен,5.2,lower
страшная,13.6,lower
страшнее,9.2,lower
страшно,87.5,lower
Страшно,8.8,upper
страшного,17.0,lower
страшное,18.1,lower
страшной,13.0,lower
страшную,7.7,lower
страшные,12.9,lower
страшный,17.9,lower
страшным,9.2,lower
страшных,6.4,lower
стрелка,6.1,lower
стрелки,8.0,lower
стрелы,5.3,lower
стрельба,5.8,lower
стрельбы,10.2,lower
стрелял,9.3,lower
стреляли,8.7,lower
стрелять,17.9,lower
стреляют,5.8,lower
стремились,8.0,lower
стремился,12.7,lower
стремительно,27.0,lower
стремится,16.8,lower
стремиться,8.8,lower
стремление,25.3,lower
стремлении,6.1,lower
стремления,6.1,lower
стремясь,7.1,lower
стремятся,11.9,lower
строгий,10.2,lower
строгим,6.0,lower
строго,58.3,lower
строгого,5.2,lower
строгой,6.3,lower
строем,5.7,lower
строение,9.2,lower
строения,13.3,lower
строил,7.7,lower
строили,9.8,lower
строит,8.0,lower
строителей,8.1,lower
строители,6.4,lower
строительного,6.9,lower
строительной,6.7,lower
строительные,5.5,lower
строительных,13.4,lower
строительства,53.2,lower
строительстве,19.9,lower
строительство,46.0,lower
Строительство,5.4,upper
строительством,5.8,lower
строительству,8.8,lower
строится,11.6,lower
строить,34.7,lower
строй,19.6,lower
строк,13.0,lower
строки,21.7,lower
строчки,13.4,lower
строю,8.6,lower
строя,20.9,lower
строят,7.8,lower
строятся,5.2,lower
струи,5.0,lower
структур,32.6,lower
структура,28.9,lower
Структура,6.0,upper
структурами,6.3,lower
структурах,6.4,lower
структуре,23.6,lower
структурные,5.0,lower
структурных,8.3,lower
структурой,8.2,lower
структуру,24.4,lower
структуры,62.4,lower
студент,15.7,lower
студента,8.2,lower
студентам,6.7,lower
студентами,6.3,lower
студентов,30.1,lower
студентом,6.3,lower
студенты,19.5,lower
студии,20.4,lower
студию,7.1,lower
стук,13.3,lower
стукнул,6.0,lower
стул,29.9,lower
стула,17.4,lower
стуле,12.6,lower
стульев,6.5,lower
стулья,9.3,lower
ступени,11.5,lower
ступень,6.2,lower
ступенькам,5.9,lower
ступеньки,6.9,lower
стучит,6.0,lower
стыд,7.0,lower
стыда,10.5,lower
стыдно,39.8,lower
Су,7.9,upper
субботу,21.8,lower
Субгенитальная,5.1,upper
субъект,8.5,lower
субъекта,20.6,lower
субъектами,6.1,lower
субъектов,39.7,lower
сугубо,16.1,lower
суд,106.4,lower
Суд,17.2,upper
суда,92.3,lower
Суда,14.8,upper
судами,7.5,lower
судах,10.2,lower
суде,28.5,lower
судеб,7.2,lower
судебная,5.4,lower
судебного,27.4,lower
судебное,6.1,lower
судебной,22.6,lower
судебном,10.2,lower
судебные,7.4,lower
судебный,6.0,lower
судебных,20.9,lower
судей,21.5,lower
судить,31.5,lower
судна,9.1,lower
судно,10.4,lower
судов,35.1,lower
судом,28.8,lower
судопроизводства,7.9,lower
судорожно,10.0,lower
суду,12.9,lower
суды,14.2,lower
судьба,59.8,lower
Судьба,11.0,upper
судьбе,29.0,lower
судьбой,12.5,lower
судьбу,35.7,lower
судьбы,46.5,lower
судьей,5.0,lower
судьи,20.3,lower
судья,17.9,lower
Судья,7.5,upper
судя,31.5,lower
Судя,22.0,upper
суета,5.6,lower
суеты,6.1,lower
суждения,7.4,lower
суждено,11.8,lower
сука,9.6,lower
сумасшедший,10.9,lower
сумеет,7.9,lower
сумел,32.1,lower
сумела,8.6,lower
сумели,12.4,lower
сумерках,8.4,lower
сумерки,7.6,lower
сумке,5.7,lower
сумки,13.6,lower
сумку,20.1,lower
сумм,6.6,lower
сумма,26.2,lower
сумме,11.5,lower
сумму,43.2,lower
суммы,31.7,lower
сумочку,5.2,lower
сунул,23.5,lower
сунула,6.0,lower
суп,14.1,lower
супруг,5.8,lower
супруга,13.9,lower
супруги,10.2,lower
супругов,7.1,lower
сурово,10.5,lower
сут,5.3,lower
сути,54.9,lower
сутки,40.9,lower
суток,34.2,lower
суть,41.3,lower
Суть,11.7,upper
Суханов,5.2,upper
сухая,5.3,lower
сухие,10.1,lower
сухим,7.2,lower
сухих,6.2,lower
сухо,14.0,lower
сухого,6.9,lower
сухое,5.2,lower
сухой,18.8,lower
существ,5.9,lower
существа,18.1,lower
существенно,41.9,lower
существенного,5.8,lower
существенное,9.8,lower
существенные,8.2,lower
существенный,5.1,lower
существенным,6.1,lower
существенных,6.8,lower
существо,26.7,lower
существовал,10.7,lower
существовала,10.0,lower
существовали,10.0,lower
существовало,15.7,lower
существование,33.7,lower
существовании,13.9,lower
существования,43.6,lower
существовать,21.6,lower
существом,7.6,lower
существу,31.5,lower
существует,100.2,lower
Существует,14.6,upper
существуют,35.2,lower
Существуют,6.8,upper
существующего,5.5,lower
существующей,7.0,lower
существующие,7.9,lower
существующих,15.4,lower
сущности,40.8,lower
сущность,14.7,lower
сфер,6.5,lower
сфера,7.6,lower
сферах,10.3,lower
сфере,57.9,lower
сферу,12.8,lower
сферы,27.5,lower
сформировать,6.4,lower
сформулировать,7.4,lower
схватил,24.8,lower
схватила,9.5,lower
схватился,7.2,lower
схватить,6.9,lower
схем,8.1,lower
схема,20.2,lower
Схема,5.9,upper
схеме,18.1,lower
схему,14.0,lower
схемы,20.8,lower
сходил,5.6,lower
сходит,6.1,lower
сходить,13.3,lower
сходство,12.9,lower
сходятся,5.0,lower
сцен,5.5,lower
сцена,16.8,lower
Сцена,5.5,upper
сценарии,6.8,lower
сценарий,18.8,lower
сценарию,7.2,lower
сценария,8.1,lower
сцене,60.3,lower
сцену,40.4,lower
сцены,37.1,lower
счастлив,17.5,lower
счастлива,9.0,lower
счастливая,7.9,lower
счастливо,11.2,lower
счастливого,5.0,lower
счастливое,5.4,lower
счастливой,10.0,lower
счастливы,8.7,lower
счастливые,7.4,lower
счастливый,12.3,lower
счастливым,10.1,lower
счастье,57.8,lower
Счастье,5.0,upper
счастьем,7.1,lower
счастью,34.7,lower
счастья,42.2,lower
счел,9.0,lower
счет,139.4,lower
счёт,9.4,lower
счета,23.2,lower
счетах,5.1,lower
счете,16.7,lower
счетов,10.2,lower
счетом,7.1,lower
счету,21.2,lower
считаем,11.3,lower
считает,75.9,lower
считаете,14.6,lower
считается,35.3,lower
Считается,6.6,upper
считаешь,6.8,lower
считай,8.0,lower
считал,58.3,lower
считала,15.8,lower
считалась,6.0,lower
считали,28.6,lower
считались,7.3,lower
считалось,13.9,lower
считался,11.8,lower
считанные,7.6,lower
считать,80.5,lower
считаться,14.7,lower
считаю,47.0,lower
Считаю,5.2,upper
считают,59.0,lower
считаются,8.9,lower
считая,21.7,lower
США,193.3,upper
съезд,10.7,lower
съезда,15.5,lower
съезде,11.0,lower
съездить,8.3,lower
съел,9.5,lower
съели,5.6,lower
съемки,14.2,lower
съемок,9.9,lower
съесть,8.4,lower
сыворотки,7.9,lower
сывороток,6.7,lower
сыграл,17.3,lower
сыграла,8.5,lower
сыграли,9.7,lower
сыграть,22.2,lower
сын,99.6,lower
Сын,18.7,upper
сына,77.8,lower
Сына,8.5,upper
сыновей,10.7,lower
сыновья,6.6,lower
сынок,12.6,lower
сыном,24.0,lower
сыну,19.9,lower
сыр,7.2,lower
сыра,5.0,lower
сырой,9.3,lower
сыром,5.2,lower
сырье,8.4,lower
сырья,23.5,lower
сэр,14.2,lower
сюда,134.2,lower
Сюда,12.1,upper
сюжет,22.7,lower
сюжета,10.1,lower
сюжеты,6.6,lower
сюрприз,7.4,lower
т,335.8,lower
Т,80.0,upper
та,122.8,lower
Та,26.0,upper
табак,5.2,lower
табака,5.1,lower
табл,27.4,lower
таблетки,10.2,lower
Таблица,16.2,upper
таблице,8.6,lower
таблицу,7.6,lower
таблицы,9.2,lower
табуретку,5.1,lower
таинственно,5.1,lower
тайге,7.0,lower
тайком,7.2,lower
тайн,5.7,lower
тайна,17.0,lower
тайне,8.5,lower
тайно,11.7,lower
тайной,14.2,lower
тайну,19.3,lower
тайны,22.2,lower
тайные,6.0,lower
тайный,5.5,lower
тайных,5.4,lower
так,2621.3,lower
Так,748.6,upper
такая,216.8,lower
Такая,41.6,upper
также,552.1,lower
Также,20.4,upper
таки,12.4,lower
такие,295.0,lower
Такие,46.1,upper
таким,202.6,lower
Таким,101.5,upper
такими,57.2,lower
таких,256.0,lower
Таких,16.7,upper
таков,13.5,lower
Таков,6.8,upper
такова,16.6,lower
Такова,8.3,upper
таково,5.0,lower
такового,6.9,lower
таковой,12.5,lower
таковы,7.5,lower
таковым,6.2,lower
такого,223.0,lower
Такого,15.8,upper
такое,351.6,lower
Такое,39.4,upper
такой,541.4,lower
Такой,50.5,upper
такой-то,8.8,lower
таком,94.1,lower
такому,25.9,lower
такси,28.9,lower
такт,8.1,lower
тактика,5.0,lower
тактику,6.2,lower
так-то,11.5,lower
такую,110.5,lower
Такую,7.4,upper
талант,23.2,lower
таланта,12.4,lower
талантливые,5.3,lower
талантливый,10.8,lower
талантливых,7.3,lower
талантом,5.9,lower
таланты,5.2,lower
там,951.3,lower
Там,228.9,upper
Тамара,27.2,upper
таможенного,6.1,lower
таможенных,6.4,lower
Тане,6.6,upper
танец,13.7,lower
Тани,6.0,upper
танк,8.8,lower
танка,5.7,lower
танки,14.5,lower
танков,12.2,lower
танца,7.1,lower
танцевали,6.0,lower
танцевать,11.1,lower
танцы,12.5,lower
Танька,6.6,upper
Таню,7.0,upper
Таня,60.2,upper
тарелке,5.1,lower
тарелки,11.8,lower
тарелку,12.8,lower
тарифов,16.6,lower
тарифы,10.5,lower
таскать,6.2,lower
ТАСС,5.4,upper
татар,5.7,lower
Татарский,9.1,upper
Татьяна,38.2,upper
Татьяны,9.1,upper
тащить,6.4,lower
Тбилиси,11.0,upper
ТВ,14.1,upper
твари,5.4,lower
тварь,6.7,lower
твердо,36.5,lower
твердое,5.1,lower
твердой,8.5,lower
твердым,5.6,lower
твердых,6.4,lower
Тверской,8.8,upper
твое,28.9,lower
Твое,5.5,upper
твоего,26.9,lower
твоей,35.4,lower
твоем,10.5,lower
твоему,7.7,lower
твои,40.4,lower
твоим,13.2,lower
твоих,20.0,lower
твой,62.0,lower
Твой,12.0,upper
творения,7.4,lower
творит,5.2,lower
творится,10.5,lower
творить,7.6,lower
творческая,5.6,lower
творческие,8.1,lower
творческий,10.4,lower
творческих,10.9,lower
творческого,10.1,lower
творческой,16.7,lower
творческую,5.0,lower
творчества,31.4,lower
творчестве,10.6,lower
творчество,17.2,lower
творчеству,5.8,lower
твою,27.9,lower
твоя,45.8,lower
Твоя,9.9,upper
те,316.2,lower
Те,38.0,upper
театр,77.0,lower
Театр,15.9,upper
театра,91.4,lower
Театра,7.3,upper
театрального,8.6,lower
театральной,8.2,lower
театральный,6.4,lower
театральных,8.5,lower
театрах,5.3,lower
театре,62.3,lower
Театре,6.0,upper
театров,10.1,lower
театром,9.6,lower
театру,8.1,lower
театры,7.5,lower
тебе,493.2,lower
Тебе,52.3,upper
тебя,569.6,lower
Тебя,25.3,upper
тезис,9.0,lower
текла,6.0,lower
текст,48.9,lower
Текст,8.0,upper
текста,26.2,lower
тексте,11.5,lower
текстов,12.7,lower
текстом,8.8,lower
тексту,5.7,lower
тексты,15.2,lower
текущего,10.3,lower
текущей,6.0,lower
текущем,5.6,lower
текущих,5.9,lower
тел,27.2,lower
Тел,17.8,upper
тела,78.3,lower
теле,20.1,lower
телевидение,13.7,lower
телевидении,10.3,lower
телевидению,10.6,lower
телевидения,13.3,lower
телевизор,29.5,lower
телевизора,11.1,lower
телевизору,15.6,lower
телеграмма,5.8,lower
телеграмму,12.4,lower
телеграммы,5.5,lower
телефон,57.8,lower
Телефон,7.3,upper
телефона,21.6,lower
телефонной,8.0,lower
телефонную,6.8,lower
телефонные,5.3,lower
телефонный,12.1,lower
телефонных,5.7,lower
телефонов,6.4,lower
телефону,52.3,lower
телефоны,8.5,lower
тело,84.0,lower
Тело,8.0,upper
телом,28.1,lower
телу,15.0,lower
тем,717.9,lower
Тем,129.2,upper
тема,36.9,lower
Тема,14.9,upper
теме,17.5,lower
теми,39.6,lower
темная,8.6,lower
темно,18.0,lower
темного,7.2,lower
темное,8.6,lower
темной,15.5,lower
темном,8.4,lower
темнота,5.9,lower
темноте,36.1,lower
темноту,9.9,lower
темноты,13.1,lower
темную,6.4,lower
темные,18.8,lower
темный,13.6,lower
темным,8.3,lower
темными,7.4,lower
темных,13.4,lower
темой,8.9,lower
темп,7.8,lower
темпами,7.8,lower
температур,5.9,lower
температура,20.1,lower
температуре,12.4,lower
температуру,7.4,lower
температуры,20.3,lower
темпов,6.5,lower
темпы,12.2,lower
тему,65.2,lower
темы,38.4,lower
тенденции,16.9,lower
тенденций,6.6,lower
тенденцию,6.9,lower
тенденция,16.0,lower
теней,5.1,lower
тени,43.6,lower
теннис,6.2,lower
тень,30.2,lower
тенью,6.3,lower
теоретически,9.1,lower
теоретические,5.9,lower
теоретических,7.1,lower
теоретической,7.3,lower
теорией,5.9,lower
теории,58.6,lower
теорий,6.3,lower
теорию,13.4,lower
теория,22.5,lower
Теория,5.7,upper
теперь,621.3,lower
Теперь,249.0,upper
тепла,16.3,lower
теплая,6.6,lower
тепло,41.8,lower
тепловой,5.3,lower
теплого,5.0,lower
теплое,7.6,lower
теплой,13.0,lower
теплом,9.6,lower
теплую,6.1,lower
теплые,11.5,lower
теплый,12.1,lower
теплым,7.0,lower
теплых,5.7,lower
терапии,5.7,lower
тергит,5.7,lower
тергита,6.5,lower
термин,19.1,lower
термина,6.0,lower
термины,5.0,lower
терпел,6.3,lower
терпеливо,14.9,lower
терпение,9.0,lower
терпения,7.6,lower
терпеть,22.0,lower
терпит,6.7,lower
территориальных,6.8,lower
территории,118.8,lower
территорий,14.7,lower
территорию,21.8,lower
территория,8.9,lower
территориях,8.1,lower
террор,5.1,lower
террора,6.2,lower
терроризма,9.2,lower
терроризмом,10.6,lower
террористов,12.9,lower
террористы,5.9,lower
теряет,14.6,lower
терял,6.8,lower
терять,16.7,lower
теряют,7.5,lower
теряя,8.4,lower
тесно,24.5,lower
тесной,6.8,lower
тесном,5.5,lower
тест,6.3,lower
теста,7.7,lower
тесто,5.0,lower
тети,8.6,lower
тетка,16.7,lower
Тетка,5.0,upper
тетки,6.7,lower
тетради,8.5,lower
тетрадь,9.9,lower
тетя,26.3,lower
Тетя,10.2,upper
тех,353.5,lower
техника,21.9,lower
технике,13.4,lower
техники,62.7,lower
техникой,11.5,lower
технику,17.0,lower
технически,5.6,lower
технические,14.1,lower
технический,7.6,lower
техническим,7.3,lower
технических,26.0,lower
технического,19.0,lower
техническое,8.4,lower
технической,13.3,lower
технологии,51.3,lower
технологий,43.1,lower
технологические,5.8,lower
технологических,11.2,lower
технологического,7.9,lower
технологической,6.6,lower
технологию,7.2,lower
технология,13.2,lower
течение,147.1,lower
течением,6.9,lower
течению,7.0,lower
течения,10.0,lower
течет,10.6,lower
ти,8.2,lower
Тим,8.9,upper
Тима,7.1,upper
Тимонин,7.5,upper
Тимофей,14.2,upper
тип,30.9,lower
типа,108.3,lower
типичный,7.1,lower
типов,21.6,lower
типу,8.5,lower
типы,9.2,lower
тираж,6.3,lower
титул,7.1,lower
тихая,6.9,lower
тихие,6.2,lower
тихий,15.6,lower
Тихий,5.0,upper
тихим,10.1,lower
тихо,125.9,lower
Тихо,11.1,upper
тихой,8.1,lower
Тихон,5.1,upper
тихонько,20.0,lower
тише,9.4,lower
тишина,31.9,lower
Тишина,6.9,upper
тишине,17.1,lower
тишину,8.7,lower
тишины,7.6,lower
тканей,7.8,lower
ткани,21.4,lower
ткань,12.5,lower
ткнул,9.8,lower
то,2644.9,lower
То,230.8,upper
тобой,120.8,lower
тобою,6.9,lower
тов,8.2,lower
товар,23.2,lower
товара,16.7,lower
товарищ,77.5,lower
Товарищ,24.0,upper
товарища,25.2,lower
товарищам,5.2,lower
товарищами,6.8,lower
товарищей,20.7,lower
товарищем,6.6,lower
товарищества,5.6,lower
товарищи,32.9,lower
Товарищи,9.5,upper
товарищу,9.3,lower
товаров,43.7,lower
товары,17.1,lower
тогда,628.2,lower
Тогда,208.3,upper
того,977.9,lower
Того,7.8,upper
тоже,812.2,lower
Тоже,31.0,upper
той,230.7,lower
ток,5.8,lower
тока,10.4,lower
Токио,7.2,upper
Толик,11.6,upper
толк,7.1,lower
толкнул,9.7,lower
толком,19.8,lower
толку,18.4,lower
толпа,21.9,lower
Толпа,6.0,upper
толпе,17.7,lower
толпой,8.4,lower
толпу,14.5,lower
толпы,23.2,lower
толстая,8.0,lower
Толстого,17.9,upper
Толстой,19.4,upper
толстой,9.4,lower
толстую,5.9,lower
толстые,10.5,lower
толстый,13.8,lower
толстым,6.1,lower
толстыми,5.5,lower
толстых,6.9,lower
толчок,5.9,lower
толщиной,6.9,lower
только,2207.9,lower
Только,294.7,upper
только-только,8.5,lower
Тольятти,5.0,upper
Толя,19.3,upper
том,1005.9,lower
тома,7.1,lower
Тома,5.4,upper
Томас,13.7,upper
том-то,7.8,lower
тому,319.3,lower
Тому,5.3,upper
тон,22.1,lower
тона,9.7,lower
тоне,5.2,lower
тонкая,9.7,lower
тонкие,15.7,lower
тонкий,13.9,lower
тонким,10.1,lower
тонкими,7.4,lower
тонких,9.8,lower
тонко,10.9,lower
тонкой,14.7,lower
тонкости,5.2,lower
тонкую,6.7,lower
тонн,30.9,lower
тонны,5.7,lower
тоном,21.8,lower
Тоня,7.3,upper
топлива,20.6,lower
топливо,7.4,lower
топор,9.5,lower
топором,7.6,lower
торговать,6.3,lower
торговле,9.1,lower
торговли,33.2,lower
торговлю,6.2,lower
торговля,9.1,lower
торгового,6.5,lower
торговой,9.3,lower
торговые,6.9,lower
торговый,5.1,lower
торговых,12.4,lower
торжества,9.4,lower
торжественно,21.8,lower
торжество,7.9,lower
торопился,7.1,lower
торопиться,8.0,lower
торопливо,22.6,lower
торопясь,10.8,lower
торт,5.6,lower
торчал,6.0,lower
торчали,9.2,lower
торчат,5.0,lower
торчит,5.2,lower
тоска,15.0,lower
тоски,10.1,lower
тоскливо,8.2,lower
тоской,9.7,lower
тоску,6.7,lower
тост,7.4,lower
тот,480.7,lower
Тот,78.9,upper
То-то,8.4,upper
то-то,7.1,lower
тотчас,31.3,lower
точек,17.1,lower
точка,24.6,lower
точках,6.2,lower
точке,14.9,lower
точки,117.8,lower
точкой,7.7,lower
точку,34.3,lower
точнее,37.7,lower
Точнее,11.5,upper
точно,201.5,lower
Точно,28.9,upper
точного,5.0,lower
точное,6.9,lower
точности,15.8,lower
точность,9.9,lower
точностью,10.9,lower
точные,6.4,lower
точный,6.2,lower
точным,6.1,lower
трав,7.2,lower
трава,13.4,lower
траве,18.6,lower
травмы,6.7,lower
травой,7.6,lower
траву,16.1,lower
травы,17.6,lower
трагедии,18.9,lower
трагедию,5.3,lower
трагедия,11.4,lower
трагически,5.0,lower
трагической,5.4,lower
традиции,41.0,lower
традиций,12.2,lower
традиционно,16.8,lower
традиционного,7.4,lower
традиционной,10.8,lower
традиционные,8.8,lower
традиционный,6.3,lower
традиционным,6.1,lower
традиционных,12.2,lower
традицию,6.2,lower
традиция,11.7,lower
традициях,5.4,lower
траектории,5.2,lower
трактор,7.0,lower
трамвае,5.3,lower
трамвай,8.2,lower
транслита,21.4,lower
транспорт,11.7,lower
транспорта,26.8,lower
транспорте,8.6,lower
транспортного,9.7,lower
транспортной,7.1,lower
транспортные,6.1,lower
транспортных,17.2,lower
транспортом,5.2,lower
трансформации,6.8,lower
трассе,10.1,lower
трассы,9.3,lower
тратить,14.9,lower
требовал,15.9,lower
требовала,9.9,lower
требовали,13.5,lower
требовало,5.3,lower
требовалось,17.5,lower
требование,17.4,lower
требованием,6.8,lower
требований,35.3,lower
требованию,8.1,lower
требования,49.7,lower
требованиям,23.0,lower
требованиями,10.5,lower
требовать,17.6,lower
требует,62.7,lower
требуется,37.9,lower
требуют,24.0,lower
требуются,7.0,lower
требуя,6.7,lower
тревога,10.2,lower
тревоги,11.3,lower
